datetime,value,session
2024-01-01 00:00:00+01:00,63.33,Day Ahead
2024-01-01 00:00:00+01:00,54.33,Intraday 1
2024-01-01 00:00:00+01:00,57.0,Intraday 2
2024-01-01 00:00:00+01:00,63.32,Intraday 3
2024-01-01 01:00:00+01:00,50.09,Day Ahead
2024-01-01 01:00:00+01:00,45.54,Intraday 1
2024-01-01 01:00:00+01:00,46.54,Intraday 2
2024-01-01 01:00:00+01:00,50.09,Intraday 3
2024-01-01 02:00:00+01:00,47.5,Day Ahead
2024-01-01 02:00:00+01:00,40.5,Intraday 1
2024-01-01 02:00:00+01:00,41.8,Intraday 2
2024-01-01 02:00:00+01:00,46.0,Intraday 3
2024-01-01 03:00:00+01:00,43.5,Day Ahead
2024-01-01 03:00:00+01:00,38.95,Intraday 1
2024-01-01 03:00:00+01:00,34.53,Intraday 2
2024-01-01 03:00:00+01:00,33.5,Intraday 3
2024-01-01 04:00:00+01:00,42.5,Day Ahead
2024-01-01 04:00:00+01:00,33.5,Intraday 1
2024-01-01 04:00:00+01:00,33.5,Intraday 2
2024-01-01 04:00:00+01:00,22.5,Intraday 3
2024-01-01 04:00:00+01:00,27.5,Intraday 4
2024-01-01 05:00:00+01:00,42.09,Day Ahead
2024-01-01 05:00:00+01:00,35.99,Intraday 1
2024-01-01 05:00:00+01:00,32.09,Intraday 2
2024-01-01 05:00:00+01:00,22.09,Intraday 3
2024-01-01 05:00:00+01:00,30.0,Intraday 4
2024-01-01 06:00:00+01:00,42.5,Day Ahead
2024-01-01 06:00:00+01:00,35.99,Intraday 1
2024-01-01 06:00:00+01:00,32.73,Intraday 2
2024-01-01 06:00:00+01:00,22.5,Intraday 3
2024-01-01 06:00:00+01:00,42.5,Intraday 4
2024-01-01 07:00:00+01:00,42.59,Day Ahead
2024-01-01 07:00:00+01:00,36.04,Intraday 1
2024-01-01 07:00:00+01:00,36.04,Intraday 2
2024-01-01 07:00:00+01:00,22.59,Intraday 3
2024-01-01 07:00:00+01:00,37.59,Intraday 4
2024-01-01 07:00:00+01:00,40.14,Intraday 5
2024-01-01 08:00:00+01:00,43.37,Day Ahead
2024-01-01 08:00:00+01:00,38.91,Intraday 1
2024-01-01 08:00:00+01:00,33.37,Intraday 2
2024-01-01 08:00:00+01:00,24.74,Intraday 3
2024-01-01 08:00:00+01:00,41.0,Intraday 4
2024-01-01 08:00:00+01:00,43.37,Intraday 5
2024-01-01 09:00:00+01:00,42.29,Day Ahead
2024-01-01 09:00:00+01:00,37.94,Intraday 1
2024-01-01 09:00:00+01:00,32.29,Intraday 2
2024-01-01 09:00:00+01:00,25.0,Intraday 3
2024-01-01 09:00:00+01:00,41.0,Intraday 4
2024-01-01 09:00:00+01:00,57.7,Intraday 5
2024-01-01 10:00:00+01:00,25.0,Day Ahead
2024-01-01 10:00:00+01:00,25.0,Intraday 1
2024-01-01 10:00:00+01:00,15.0,Intraday 2
2024-01-01 10:00:00+01:00,5.64,Intraday 3
2024-01-01 10:00:00+01:00,22.5,Intraday 4
2024-01-01 10:00:00+01:00,24.99,Intraday 5
2024-01-01 11:00:00+01:00,3.9,Day Ahead
2024-01-01 11:00:00+01:00,0.0,Intraday 1
2024-01-01 11:00:00+01:00,3.32,Intraday 2
2024-01-01 11:00:00+01:00,0.43,Intraday 3
2024-01-01 11:00:00+01:00,3.0,Intraday 4
2024-01-01 11:00:00+01:00,10.0,Intraday 5
2024-01-01 12:00:00+01:00,3.2,Day Ahead
2024-01-01 12:00:00+01:00,3.2,Intraday 1
2024-01-01 12:00:00+01:00,3.2,Intraday 2
2024-01-01 12:00:00+01:00,0.43,Intraday 3
2024-01-01 12:00:00+01:00,2.0,Intraday 4
2024-01-01 12:00:00+01:00,5.15,Intraday 5
2024-01-01 12:00:00+01:00,0.2,Intraday 6
